Name,Value,Units,Notes
A_syn,37.8,micrometer^2,"Surface area of the synapse (Jansson 2005, PMID: 16034096)"
A_Tcell,151.310411930437,micrometer^2,"Surface area of the T cell calculated based on the average T cell diameter (Chapman 1981, PMID: 6975780)"
A_cell,572.55526111674,micrometer^2,"Surface area of the Cancer cell calculated based on the average cancer cell diameter (Abramczyk 2015, PMID: 25730442)"
A_APC,900,micrometer^2,"Surface area of the APC (Agrawal and Linderman 1996, PMID: 8944895)"
k_M1p0_TCR_on,1,1/(second*molecule/micrometer^2),"Rate of TCR binding to MHC-peptide complex (Lever 2014, PMID: 25145757)"
k_M1p0_TCR_off,1,1/second,"Rate of TCR unbinding from MHC-peptide complex (Lever 2014, PMID: 25145757)"
k_M1p0_TCR_p,1,1/second,"Rate of MHC-peptide-TCR complex modification (Lever 2014, PMID: 25145757)"
phi_M1p0_TCR,0.09,1/second,"Rate of MHC-peptide-TCR complex with maximal modification that leads to non-signaling(Lever 2014, PMID: 25145757)"
N_M1p0_TCR,10,dimensionless,"Number of modifcation steps for MHC-peptide-TCR complex (Lever 2014, PMID: 25145757)"
TCR_p0_tot,103.813080670361,molecule/micrometer^2,"Total number of TCR molecules per naive T cell calculated based on the number of molecules for TCR (Lever 2014, PMID: 25145757) and T cell surface area"
pTCR_p0_MHC_tot,2.14545648322009e-05,molecule/micrometer^2,"Total number of MHC-p0-TCR complexes of all different activation levels (see Rules)"
k_P1_up,14.4,1/day/cell,"Rate of antigen uptake by APCs (Chen 2014, PMID: 25184733)"
k_xP1_deg,2,1/day,"Rate of extracellular antigen degradation (Palsson 2013, PMID: 24074340)"
k_P1_deg,17.28,1/day,"Rate of endosomal antigen degradation (Chen 2014, PMID: 25184733)"
